"product_name","product_owner","product_description","website_code","country","filters","sustainability_rating","product_photo"
"Lyngør Island","destinations;root","A car-free island off the coast of Norway, Lyngør is known for its serene beauty, charming wooden houses, and untouched nature. Ideal for travelers seeking relaxation and cultural immersion, it offers peaceful walks and opportunities to interact with the local community.","9476f1e5","Norway","nature;sustainable;history","3","images/lyngoer_island.jpg"
"Wulingyuan Scenic Area","destinations;root","A UNESCO World Heritage site in China, Wulingyuan is famous for its towering sandstone pillars, deep ravines, and tranquil forests. It's a paradise for adventurers and nature lovers, with countless hiking trails that offer breathtaking views.","9476f1e5","China","adventure;nature;history","2","images/wulingyuan_scenic_area.jpg"
"Chefchaouen","destinations;root","This blue-washed town in the Rif Mountains of Morocco is a hidden gem for travelers seeking cultural exploration and tranquility. Known for its friendly locals, rich history, and stunning mountain backdrop, Chefchaouen offers a perfect mix of city exploration and nature escapes.","9476f1e5","Morocco","city;history;nature;sustainable","2","images/chefchaouen.jpg"
"Hallstatt","destinations;root","Nestled in the Austrian Alps, Hallstatt is a picturesque village famous for its stunning lake, salt mines, and rich cultural heritage. It’s a perfect destination for families and those interested in history and scenic beauty.","9476f1e5","Austria","family;kids;history;nature","3","images/hallstatt.jpg"
"Omodos Village","destinations;root","A traditional village in the Troodos Mountains of Cyprus, Omodos offers visitors a peaceful retreat with its cobblestone streets, local wineries, and cultural experiences. Ideal for travelers seeking relaxation, local cuisine, and a taste of authentic Cypriot culture.","9476f1e5","Cyprus","history;family;nature;sustainable","3","images/omodos_village.jpg"
"Siwa Oasis","destinations;root","Located in Egypt’s Western Desert, Siwa Oasis offers travelers a peaceful escape surrounded by natural springs, palm groves, and ancient ruins. It’s a hidden gem for those interested in history, culture, and desert landscapes, with a strong commitment to sustainable tourism.","9476f1e5","Egypt","nature;history;sustainable","3","images/siwa_oasis.jpg"
"Faroe Islands","destinations;root","This remote archipelago in the North Atlantic is a paradise for adventurers and nature lovers. With dramatic cliffs, serene villages, and unparalleled hiking routes, the Faroe Islands offer solitude and stunning natural beauty. A highly sustainable destination.","9476f1e5","Faroe Islands","nature;adventure;sustainable","3","images/faroe_islands.jpg"
"Puglia Countryside","destinations;root","Nestled in southern Italy, the Puglia region offers travelers a taste of rustic charm. Known for its olive groves, historic towns, and trulli houses, it’s perfect for those seeking relaxation, local culture, and scenic drives through the countryside.","9476f1e5","Italy","history;nature;sustainable;family","2","images/puglia_countryside.jpg"
"Gimmelwald","destinations;root","This small, car-free village in the Swiss Alps is a hidden gem perfect for relaxation and nature walks. Gimmelwald offers stunning views of the mountains and peaceful surroundings, making it an ideal spot for travelers seeking tranquility and adventure.","9476f1e5","Switzerland","adventure;nature;sustainable","3","images/gimmelwald.jpg"
"Valldemossa","destinations;root","Tucked away in the Tramuntana mountains of Mallorca, Spain, Valldemossa is a picturesque village known for its cobbled streets, rich history, and artistic heritage. It offers a peaceful retreat for travelers interested in culture and scenic landscapes.","9476f1e5","Spain","history;nature;sustainable","2","images/valldemossa.jpg"
"Tsumago","destinations;root","Tsumago, a well-preserved post town in Japan's Kiso Valley, offers travelers a step back in time with its Edo-period architecture. Surrounded by forests and mountains, it's perfect for those interested in history, nature walks, and traditional Japanese culture.","9476f1e5","Japan","history;nature;sustainable","2","images/tsumago.jpg"
